DIGNIDAD_CODIGO;DIGNIDAD_NOMBRE;PROVINCIA_CODIGO;PROVINCIA_NOMBRE;CIRCUNSCRIPCION_CODIGO_ORIGINAL;CIRCUNSCRIPCION_NOMBRE;CANTON_CODIGO;CANTON_NOMBRE;PARROQUIA_CODIGO;PARROQUIA_NOMBRE;JUNTA_SEXO;CANDIDATO_CODIGO;VOTOS_EN_BLANCO;VOTOS_NULOS;ELECTORES_REGISTRO;ELECTORES_RESULTADOS;SUFRAGANTES;CANDIDATO_VOTOS
1;1;1;1;0;10;265;265;3160;3160;M;16;3;11;435;435;269;102
1;1;1;1;0;10;265;265;3160;3160;M;502;3;11;435;435;269;153
1;1;1;1;0;10;265;265;3505;3505;F;16;63;212;2606;2606;1976;540
1;1;1;1;0;10;265;265;3505;3505;F;502;63;212;2606;2606;1976;1161
1;1;1;1;0;10;265;265;3505;3505;M;16;14;108;2132;2132;1283;416
1;1;1;1;0;10;265;265;3505;3505;M;502;14;108;2132;2132;1283;745
1;1;1;1;0;10;265;265;3780;3780;F;16;1;13;340;340;291;115
1;1;1;1;0;10;265;265;3780;3780;F;502;1;13;340;340;291;162
1;1;1;1;0;10;265;265;3780;3780;M;16;4;10;243;243;202;70
1;1;1;1;0;10;265;265;3780;3780;M;502;4;10;243;243;202;118
1;1;1;1;0;10;265;265;4340;4340;F;16;5;77;1133;1133;980;286
1;1;1;1;0;10;265;265;4340;4340;F;502;5;77;1133;1133;980;612
1;1;1;1;0;10;265;265;4340;4340;M;16;5;62;1015;1015;819;283
1;1;1;1;0;10;265;265;4340;4340;M;502;5;62;1015;1015;819;469
1;1;1;1;0;10;265;265;5420;5420;F;16;104;911;13062;13062;9509;3387
1;1;1;1;0;10;265;265;5420;5420;F;502;104;911;13062;13062;9509;5107
1;1;1;1;0;10;265;265;5420;5420;M;16;53;618;12561;12562;7793;3149
1;1;1;1;0;10;265;265;5420;5420;M;502;53;618;12561;12562;7793;3973
1;1;1;1;0;10;270;270;175;175;F;16;8;46;1164;1164;922;469
1;1;1;1;0;10;270;270;175;175;F;502;8;46;1164;1164;922;399
1;1;1;1;0;10;270;270;175;175;M;16;3;31;1131;1131;825;440
1;1;1;1;0;10;270;270;175;175;M;502;3;31;1131;1131;825;351
1;1;1;1;0;10;270;270;885;885;F;16;2;6;225;225;195;87
1;1;1;1;0;10;270;270;885;885;F;502;2;6;225;225;195;100
1;1;1;1;0;10;270;270;885;885;M;16;0;9;187;187;160;78
1;1;1;1;0;10;270;270;885;885;M;502;0;9;187;187;160;73
1;1;1;1;0;10;270;270;5395;5395;F;16;43;251;6261;6261;3785;2136
1;1;1;1;0;10;270;270;5395;5395;F;502;43;251;6261;6261;3785;1355
1;1;1;1;0;10;270;270;5395;5395;M;16;48;190;6252;6255;3175;1825
1;1;1;1;0;10;270;270;5395;5395;M;502;48;190;6252;6255;3175;1112
1;1;1;1;0;10;275;275;395;395;F;16;10;34;667;667;536;114
1;1;1;1;0;10;275;275;395;395;F;502;10;34;667;667;536;378
1;1;1;1;0;10;275;275;395;395;M;16;2;19;650;650;466;134
1;1;1;1;0;10;275;275;395;395;M;502;2;19;650;650;466;311
1;1;1;1;0;10;275;275;870;870;F;16;17;67;1036;1036;842;265
1;1;1;1;0;10;275;275;870;870;F;502;17;67;1036;1036;842;493
1;1;1;1;0;10;275;275;870;870;M;16;5;40;1005;1006;692;268
1;1;1;1;0;10;275;275;870;870;M;502;5;40;1005;1006;692;379
1;1;1;1;0;10;275;275;890;890;F;16;12;35;595;595;493;136
1;1;1;1;0;10;275;275;890;890;F;502;12;35;595;595;493;310
1;1;1;1;0;10;275;275;890;890;M;16;5;24;523;523;387;132
1;1;1;1;0;10;275;275;890;890;M;502;5;24;523;523;387;226
1;1;1;1;0;10;275;275;1455;1455;F;16;9;21;465;465;363;121
1;1;1;1;0;10;275;275;1455;1455;F;502;9;21;465;465;363;212
1;1;1;1;0;10;275;275;1455;1455;M;16;1;26;512;513;379;160
1;1;1;1;0;10;275;275;1455;1455;M;502;1;26;512;513;379;192
1;1;1;1;0;10;275;275;3375;3375;F;16;11;50;933;933;773;241
1;1;1;1;0;10;275;275;3375;3375;F;502;11;50;933;933;773;471
1;1;1;1;0;10;275;275;3375;3375;M;16;2;57;874;874;670;250
1;1;1;1;0;10;275;275;3375;3375;M;502;2;57;874;874;670;361
1;1;1;1;0;10;275;275;4050;4050;F;16;0;41;570;570;458;74
1;1;1;1;0;10;275;275;4050;4050;F;502;0;41;570;570;458;343
