DIGNIDAD_CODIGO;DIGNIDAD_NOMBRE;OP_CODIGO;NUM_PARTIDO;CANDIDATO_CODIGO;CANDIDATO_ORDEN_LISTA;CANDIDATO_NOMBRE;CANDIDATO_SEXO;CANDIDATO_GRUPO_EDAD;CANDIDATO_TERRITORIO_CODIGO;CANDIDATO_TERRITORIO_NOMBRE;CANDIDATO_PROVINCIA_CODIGO;CANDIDATO_PROVINCIA_NOMBRE;CANDIDATO_CIRCUNSCRIPCION_CODIGO_ORIGINAL;CANDIDATO_CIRCUNSCRIPCION_CODIGO;CANDIDATO_CIRCUNSCRIPCION_NOMBRE;SUPLENTE1_NOMBRE;SUPLENTE1_SEXO;SUPLENTE1_GRUPO_EDAD;SUPLENTE2_NOMBRE;SUPLENTE2_SEXO;SUPLENTE2_GRUPO_EDAD
7;7;3;021023062;166;2;CUESTA ORELLANA MARIA DE LOURDES;2;3;1;1;1;1;0;10;10;MEDINA RAMIREZ JOSE ALFREDO;1;1; ; ; 
7;7;614;051;582;2;ARMIJOS GARCIA ELINA BEATRIZ;2;2;1;1;1;1;0;10;10;QUITO SIAVICHAY OCTAVIO FERNANDO;1;2; ; ; 
7;7;42;035017;942;4;GUZMAN OCHOA LILIANA MAURA;2;3;1;1;1;1;0;10;10;VAZQUEZ VAZQUEZ FABIAN LEOPOLDO;1;3; ; ; 
9;9;739;012;1080;3;PESANTEZ SALTO DIANA ELIZABETH;2;2;1;1;0;0;0;0;0;CADENA CARRERA MARLON WULESTER;1;3; ; ; 
9;9;700;008;1259;12;TENE MARIN ALLISON ANDREA;2;1;1;1;0;0;0;0;0;REINOSO VELOZ JOSE ALEJANDRO;1;1; ; ; 
7;7;741;005;1646;3;GONZALEZ MERCHAN MARIA ANGELICA;2;1;1;1;1;1;0;10;10;GONZALEZ MERCHAN JUAN ALFREDO;1;1; ; ; 
9;9;718;002;1012;15;GONZALEZ BRITO WILMER GERARDO;1;2;1;1;0;0;0;0;0;ROMAN GRANDA ROSA ELENA;2;2; ; ; 
7;7;720;001;205;5;VARGAS VAZQUEZ DIEGO ANIBAL;1;2;1;1;1;1;0;10;10;MERCHAN DOMINGUEZ FERNANDA MARIANELA;2;1; ; ; 
7;7;614;051;591;5;LOJANO ZUMBA MANUEL SANTOS;1;2;1;1;1;1;0;10;10;TAPIA CARDENAS ANDREA ESTEFANIA;2;1; ; ; 
7;7;700;008;1607;5;MUÑOZ ANGAMARCA ANDRES ISMAEL;1;2;1;1;1;1;0;10;10;ORDOÑEZ DELGADO MARIA PATRICIA;2;4; ; ; 
7;7;741;005;1638;2;MONCAYO GAIBOR MARCELO LENIN;1;2;1;1;1;1;0;10;10;ARGUDO ARGUDO MONICA ALEXANDRA;2;2; ; ; 
7;7;741;005;1658;4;SANGOLQUI NIETO HENRY SANTIAGO;1;2;1;1;1;1;0;10;10;MENDEZ ZEA SUSANA BEATRIZ;2;2; ; ; 
7;7;739;012;1744;2;REA ABAD MARIELA DEL ROCIO;2;2;2;2;27;27;0;270;270;YANEZ CHILLO HENNRY PATRICIO;1;2; ; ; 
7;7;741;005;1668;5;CHIMBO BARROS ROCIO ANNABELL;2;2;1;1;1;1;0;10;10;RAMON ARGUDO FRANKLIN SANTIAGO;1;2; ; ; 
7;7;700;008;1593;4;FAREZ PUCHA CECILIA DE JESUS;2;2;1;1;1;1;0;10;10;FAJARDO CALDERON JUAN PABLO;1;1; ; ; 
9;9;589;035;829;11;VINTIMILLA JARRIN DIEGO ARMANDO;1;1;1;1;0;0;0;0;0;ZAMBRANO LOOR MARIA TATIANA;2;1; ; ; 
7;7;64;082002;1749;4;FERNANDEZ MUÑOZ JUANA CATALINA;2;1;1;1;1;1;0;10;10;ZAMBRANO SALAZAR AGUSTIN MAURICIO;1;4; ; ; 
